id,analyzed_experiment_pk,set_voltage,set_amperage,Delta_f_Hz,Delta_f_Hz_err,Delta_kappa_Hz,Delta_kappa_Hz_err,kappa_c_Hz,kappa_c_Hz_err,f_c_Hz,f_c_Hz_err,J_Hz,J_Hz_err,a0_value,a0_err,phi_rad,phi_rad_err,nu_minus_mean_data_Hz,nu_minus_err_low_data_Hz,nu_minus_err_high_data_Hz,nu_plus_mean_data_Hz,nu_plus_err_low_data_Hz,nu_plus_err_high_data_Hz
47,1,-2.54,-0.009,-7999.085341453552,1530.325113171319,-559367.2696787082,2188.0653963624,700779.3074660326,2998.340475606673,6006244557.390712,1058.7267829084194,1045000,0,2453913793311760.5,15120809712096.875,0,0,6005462015.652542,6005459918.183687,6005464104.039531,6007032813.650857,6007030711.969979,6007034931.147811
48,1,-2.53,-0.009,-8396.400291442871,1473.0677497190784,-578826.4363373044,2106.2887587076566,708420.6626711502,2992.7005317096528,6006236924.632839,1056.6934299331017,1045000,0,2511139359240100,15522759580554.92,0,0,6005469090.049622,6005466998.525993,6005471159.543543,6007010500.758831,6007008400.03333,6007012621.946746
49,1,-2.52,-0.009,1456.5829572677612,1541.504108358596,-596614.0642972253,2207.41279367189,702236.9790910085,2979.1368207626824,6006263858.355356,1051.9329347854564,1045000,0,2380246017888435,13842273331758.877,0,0,6005500956.598809,6005498734.170145,6005503150.686868,6007025811.862712,6007023612.983129,6007027987.928519
50,1,-2.51,-0.009,-42388.59192752838,1536.5927367160098,-616888.0394737863,2201.2997427588393,708929.3851586356,3039.5401553026004,6006253829.59879,1073.2248605928974,1045000,0,2271680768457535,9841298317612.2,0,0,6005520453.008294,6005518199.599878,6005522694.758367,6007014030.175351,6007011710.239113,6007016352.993566
51,1,-2.5,-0.009,-9626.701478004456,1600.1126520543219,-631374.4618277556,2296.262286120919,702125.8627582765,2955.400141236739,6006249052.718231,1043.5557819431144,1045000,0,2350924811577446,12001790443213.658,0,0,6005511836.162146,6005509525.176834,6005514112.582852,6006992143.9069,6006989882.836099,6006994429.844212
52,1,-2.49,-0.009,786.8211698532104,1547.3194017897445,-663969.1641483807,2222.1045585661664,702001.700421574,2934.0445626698984,6006256928.289445,1036.013884557318,1045000,0,2421216732298081.5,12765440809302.408,0,0,6005538813.785634,6005536436.395179,6005541268.443127,6006974610.981305,6006972249.681411,6006976958.310693
53,1,-2.48,-0.009,18067.574184417725,1537.7684990970247,-686827.8358515211,2208.9761320878615,702067.2576685182,2995.0271185092956,6006276006.167001,1057.541571410182,1045000,0,2363773978084031.5,11808595523878.684,0,0,6005570005.679469,6005567515.518322,6005572500.2010765,6006972670.861388,6006970256.004598,6006975094.840384
54,1,-2.47,-0.009,5880.670968055725,1558.692888482541,-694718.5587362645,2242.6004926887895,699137.0061146676,2874.285561929297,6006268951.557867,1014.9256211343986,1045000,0,2405981943782679.5,11369754910696.416,0,0,6005570592.221502,6005568154.553832,6005573023.824145,6006964399.768829,6006961985.849569,6006966798.872242
55,1,-2.46,-0.009,-2942.374186515808,1759.8840067949714,-707927.0645851546,2538.4201071677658,694898.7489394491,2955.3394872468034,6006262252.398309,1043.5713820643184,1045000,0,2346823785237296,10246975432324.91,0,0,6005573975.66554,6005571253.128221,6005576715.005897,6006951951.834122,6006949228.799267,6006954673.972577
56,1,-2.45,-0.009,-13824.673746109009,1872.7871271577394,-738666.0651202622,2707.5474688532627,695484.5902731435,3032.435800276082,6006256538.92551,1070.7932608683116,1045000,0,2335434652899975,10296843390491.756,0,0,6005594900.251828,6005592018.581895,6005597790.864116,6006923669.242288,6006920665.607111,6006926673.255461
57,1,-2.44,-0.009,-12606.416815757751,1800.5068155978638,-761402.1254261808,2602.3321017271123,694096.734660777,3111.1114999705183,6006254273.865746,1098.5833149385908,1045000,0,2360141702321877.5,9947779125674.223,0,0,6005610263.268526,6005607229.944842,6005613239.327011,6006902551.422259,6006899505.001574,6006905647.7221
58,1,-2.43,-0.009,-6070.212978363037,1977.102548767811,-798140.627396765,2871.218526169018,697650.6573762095,3043.0849407456626,6006272023.194681,1074.5373071690155,1045000,0,2404071811744327,10248830277394.855,0,0,6005661583.155846,6005658207.480783,6005664974.470012,6006883744.501264,6006880271.932473,6006887224.206371
59,1,-2.42,-0.009,-13541.511777877808,1844.4514213358846,-798578.3580693891,2675.6746000163694,694604.8278923072,2976.990250926595,6006268497.760597,1051.2166556577786,1045000,0,2367008273542028.5,8979282054864.797,0,0,6005657453.63524,6005654300.839074,6005660657.127726,6006882329.258714,6006878992.693288,6006885665.9077425
60,1,-2.41,-0.009,-1320.3551769256592,1737.455623906734,-818087.276254777,2521.4187627351125,701943.9206401829,2908.786145927302,6006257977.40587,1027.0951857818145,1045000,0,2396176353161828.5,9453447823249.188,0,0,6005668929.686655,6005665638.659372,6005672179.883062,6006847158.262258,6006843888.803198,6006850422.763856
61,1,-2.4,-0.009,-5425.83752822876,1844.2196666051668,-842136.3507661959,2681.529400821503,690947.5604372985,2986.1831596102807,6006257267.987779,1054.4858118967095,1045000,0,2345116655730043,8417988670071.167,0,0,6005685349.057171,6005681875.14974,6005688757.255697,6006829248.446281,6006825659.690599,6006832822.800128
62,1,-2.39,-0.009,-1496.2463130950928,1851.3586085222867,-870445.6427368181,2702.753196950625,709196.5747265758,2804.2016797634515,6006256326.948498,990.1276461683366,1045000,0,2338994604213607.5,8123295247090.37,0,0,6005728247.517509,6005724406.054861,6005732121.225352,6006784091.399648,6006780282.237264,6006787934.963749
63,1,-2.38,-0.009,-2687.6586265563965,2344.2588759936875,-885917.6759314507,3436.534353170802,705999.9926581563,3057.6812630008303,6006271262.458824,1079.642938761529,1045000,0,2339785053374708,8204423719304.315,0,0,6005758804.023509,6005754061.779002,6005763549.478376,6006782808.036986,6006777905.027486,6006787679.487239
64,1,-2.37,-0.009,5700.968975067139,1876.3801497459074,-901952.6080605898,2742.499558325328,703633.5018417895,2933.625309358316,6006277828.1533785,1035.8513756726254,1045000,0,2300772268522533.5,7715196250464.304,0,0,6005785149.86019,6005780632.063577,6005789635.468415,6006773276.333005,6006768994.278629,6006777596.882361
65,1,-2.36,-0.009,-10713.729743003845,2023.0302777800957,-913158.6859204415,2965.8230925037446,710773.384073684,2925.0168672188197,6006265743.480104,1032.7745616773445,1045000,0,2308807887636583.5,7855642133773.284,0,0,6005788940.38373,6005784354.712186,6005793526.270002,6006735522.360528,6006730436.950438,6006740493.589978
66,1,-2.35,-0.009,-9697.120307922363,2023.2074211804922,-932053.4251994884,2971.411295581883,707531.6311902386,2854.510942304936,6006257285.30675,1007.9001630080595,1045000,0,2326362681432039.5,7410571259652.255,0,0,6005802967.815123,6005798024.795488,6005807801.269463,6006702994.957349,6006697662.4972925,6006708389.085239
67,1,-2.34,-0.009,-4915.425361633301,2068.4987336229174,-955723.5124277228,3040.176709620385,708179.374036007,3040.124619802139,6006253320.681994,1073.4357692151332,1045000,0,2355515058410991,8049308334933.554,0,0,6005836043.376919,6005830324.823875,6005841765.116177,6006664070.888925,6006657963.250468,6006670152.771279
68,1,-2.33,-0.009,-9955.882801055908,1934.8545128674668,-985240.4650504943,2848.8668363866072,716663.9277671304,2934.3390889305015,6006276275.399276,1036.0292190516482,1045000,0,2301577133422772.5,7388650943310.807,0,0,6005911848.7502365,6005905646.734579,6005917978.995233,6006616971.763791,6006609138.689276,6006624814.51011
69,1,-2.32,-0.009,-9792.121507644653,2353.328868398211,-1005657.5789280885,3484.411333518004,703991.1291950889,2988.628361161551,6006263231.533258,1055.2745431487922,1045000,0,2296589422804767,7327854307190.446,0,0,6005920911.757248,6005913122.3947525,6005928690.583303,6006575620.046253,6006565061.964773,6006586053.827572
70,1,-2.31,-0.009,-10342.002405166626,2002.5067703561638,-1011192.3381713545,2957.601333164211,716850.9623300605,2918.8002237460223,6006255823.028717,1030.5472845589668,1045000,0,2356834225950264,7718965741914.077,0,0,6005938790.336312,6005931274.099707,6005946269.665841,6006531128.8179,6006519543.094866,6006542929.489425
71,1,-2.3,-0.009,-6300.9847202301025,2216.5631109363676,-1031944.3241373943,3287.131554141965,709276.3922621283,2918.2867814933884,6006256161.494162,1030.4092241310072,1045000,0,2167049233991360,6027452707536.559,0,0,6005980514.939793,6005970830.625693,6005990413.387186,6006494083.504161,6006478849.950227,6006509644.0556965
